player_id,season,game_type,fgm,fga,pts,reb,ast,minutes,games_played,ppm,team_id,league_id,full_name,position_simple,status,jersey_number,team_full_name,division,conference
2.0,2022,,147,295,392,158,104,619.2483333,16,0.6330255229126185,12.0,,LeBron James,,,23.0,Los Angeles Lakers,Pacific,Western
2.0,2022,,609,1219,1590,457,375,1953.94,55,0.8137404423882002,12.0,,LeBron James,,,23.0,Los Angeles Lakers,Pacific,Western
3.0,2022,,3,3,8,1,0,6.05,2,1.322314049586777,11.0,,Robin Lopez,,,42.0,Milwaukee Bucks,Central,Eastern
3.0,2022,,48,75,112,51,19,298.4983333,37,0.3752114752595169,11.0,,Robin Lopez,,,42.0,Milwaukee Bucks,Central,Eastern
4.0,2022,,8,19,22,11,6,91.68333333,5,0.2399563715775297,21.0,,Nicolas Batum,,,40.0,Philadelphia 76ers,Atlantic,Eastern
4.0,2022,,160,381,478,299,121,1709.57,78,0.2796024731365197,21.0,,Nicolas Batum,,,40.0,Philadelphia 76ers,Atlantic,Eastern
5.0,2022,,0,4,0,0,1,2.5,1,0.0,28.0,,Derrick Rose,,,23.0,Memphis Grizzlies,Southwest,Western
5.0,2022,,61,159,152,40,46,337.865,27,0.449883829340121,28.0,,Derrick Rose,,,23.0,Memphis Grizzlies,Southwest,Western
7.0,2022,,28,62,82,31,14,343.0533333,20,0.2390298884759444,8.0,,Jeff Green,,,32.0,Houston Rockets,Southwest,Western
7.0,2022,,160,328,437,144,69,1091.116667,56,0.4005071256051118,8.0,,Jeff Green,,,32.0,Houston Rockets,Southwest,Western
9.0,2022,,69,160,206,53,21,491.8166667,45,0.4188552644671893,24.0,,Davis Bertans,,,9.0,Oklahoma City Thunder,Northwest,Western
12.0,2022,,459,1004,1332,342,288,1938.891667,56,0.6869904196663917,10.0,,Paul George,,,13.0,LA Clippers,Pacific,Western
17.0,2022,,192,470,561,283,108,2364.485,78,0.237260968033208,8.0,,Reggie Bullock,,,25.0,Houston Rockets,Southwest,Western
19.0,2022,,138,307,397,98,59,1184.351667,48,0.3352044929405245,17.0,,Gary Harris,,,14.0,Orlando Magic,Southeast,Eastern
20.0,2022,,10,29,26,12,0,68.47166667,3,0.3797191052075204,21.0,,Marcus Morris Sr.,,,5.0,Philadelphia 76ers,Atlantic,Eastern
20.0,2022,,274,643,728,258,114,1825.113333,65,0.3988793390728026,21.0,,Marcus Morris Sr.,,,5.0,Philadelphia 76ers,Atlantic,Eastern
25.0,2022,,340,847,1019,251,129,2152.233333,71,0.4734616755422215,2.0,,Tim Hardaway Jr.,,,10.0,Dallas Mavericks,Southwest,Western
27.0,2022,,349,679,837,234,341,1777.941667,60,0.4707691008852429,17.0,,Markelle Fultz,,,20.0,Orlando Magic,Southeast,Eastern
28.0,2022,,24,44,69,13,12,80.38,2,0.858422493157502,10.0,,Kawhi Leonard,,,2.0,LA Clippers,Pacific,Western
28.0,2022,,446,871,1239,338,204,1747.488333,52,0.7090176092179953,10.0,,Kawhi Leonard,,,2.0,LA Clippers,Pacific,Western
29.0,2022,,200,459,652,158,114,1122.443333,51,0.5808756494257693,27.0,,Alec Burks,,,14.0,Detroit Pistons,Central,Eastern
30.0,2022,,23,38,50,50,3,151.1733333,6,0.3307461634174339,1.0,,Clint Capela,,,15.0,Atlanta Hawks,Southeast,Eastern
30.0,2022,,350,536,779,717,58,1730.083333,65,0.4502673282501357,1.0,,Clint Capela,,,15.0,Atlanta Hawks,Southeast,Eastern
34.0,2022,,43,105,118,38,37,192.2966667,5,0.6136351816440508,10.0,,Russell Westbrook,,,0.0,LA Clippers,Pacific,Western
34.0,2022,,432,991,1159,423,551,2125.826667,73,0.5451996712580519,10.0,,Russell Westbrook,,,0.0,LA Clippers,Pacific,Western
35.0,2022,,22,53,55,44,6,124.035,11,0.4434232273148708,17.0,,Jonathan Isaac,,,1.0,Orlando Magic,Southeast,Eastern
36.0,2022,,1,2,3,2,2,18.06666667,6,0.1660516604859683,4.0,,Reggie Jackson,,,7.0,Denver Nuggets,Northwest,Western
36.0,2022,,263,640,693,144,233,1656.853333,68,0.4182627310440398,4.0,,Reggie Jackson,,,7.0,Denver Nuggets,Northwest,Western
37.0,2022,,56,166,165,49,36,458.6933333,27,0.3597174583134496,15.0,,Evan Fournier,,,13.0,New York Knicks,Atlantic,Eastern
38.0,2022,,30,54,80,18,15,156.7183333,6,0.5104699515075815,1.0,,Bogdan Bogdanovic,,,13.0,Atlanta Hawks,Southeast,Eastern
38.0,2022,,273,611,756,165,150,1508.608333,54,0.5011241045557714,1.0,,Bogdan Bogdanovic,,,13.0,Atlanta Hawks,Southeast,Eastern
41.0,2022,,22,51,66,13,26,159.3833333,4,0.4140959950672583,13.0,,Spencer Dinwiddie,,,26.0,Brooklyn Nets,Atlantic,Eastern
41.0,2022,,460,1050,1369,270,515,2725.335,79,0.502323567561419,13.0,,Spencer Dinwiddie,,,26.0,Brooklyn Nets,Atlantic,Eastern
43.0,2022,,0,2,0,3,1,10.19166667,3,0.0,21.0,,Mo Bamba,,,7.0,Philadelphia 76ers,Atlantic,Eastern
43.0,2022,,117,241,323,225,46,768.4283333,49,0.4203384831125148,21.0,,Mo Bamba,,,7.0,Philadelphia 76ers,Atlantic,Eastern
44.0,2022,,0,3,0,2,2,11.98333333,2,0.0,21.0,,Robert Covington,,,33.0,Philadelphia 76ers,Atlantic,Eastern
44.0,2022,,102,229,288,166,57,778.6416667,48,0.3698748889467823,21.0,,Robert Covington,,,33.0,Philadelphia 76ers,Atlantic,Eastern
46.0,2022,,138,291,369,180,194,1221.171667,50,0.3021688186612669,25.0,,Delon Wright,,,55.0,Washington Wizards,Southeast,Eastern
47.0,2022,,101,195,265,120,52,712.7516667,20,0.3717984992261541,4.0,,Aaron Gordon,,,50.0,Denver Nuggets,Northwest,Western
47.0,2022,,429,761,1109,446,203,2055.106667,68,0.5396313572467234,4.0,,Aaron Gordon,,,50.0,Denver Nuggets,Northwest,Western
48.0,2022,,20,35,46,48,7,174.23,21,0.2640188256901796,0.0,,Cody Zeller,,,40.0,New Orleans Pelicans,Southwest,Western
48.0,2022,,37,59,98,64,10,216.6116667,15,0.4524225379592631,0.0,,Cody Zeller,,,40.0,New Orleans Pelicans,Southwest,Western
49.0,2022,,197,269,506,314,69,1457.935,76,0.3470662272323526,2.0,,Dwight Powell,,,7.0,Dallas Mavericks,Southwest,Western
51.0,2022,,322,613,868,497,132,1689.54,57,0.5137493045444322,17.0,,Wendell Carter Jr.,,,34.0,Orlando Magic,Southeast,Eastern
53.0,2022,,55,147,166,83,36,329.6133333,10,0.5036204037562821,15.0,,Julius Randle,,,30.0,New York Knicks,Atlantic,Eastern
53.0,2022,,658,1432,1936,767,316,2737.251667,77,0.7072787728436517,15.0,,Julius Randle,,,30.0,New York Knicks,Atlantic,Eastern
55.0,2022,,227,414,600,269,190,788.8483333,20,0.7606024817090147,4.0,,Nikola Jokic,,,15.0,Denver Nuggets,Northwest,Western
55.0,2022,,646,1022,1690,817,678,2323.006667,69,0.7275054454245352,4.0,,Nikola Jokic,,,15.0,Denver Nuggets,Northwest,Western
57.0,2022,,41,60,102,60,9,171.065,31,0.5962645777920673,8.0,,Boban Marjanovic,,,51.0,Houston Rockets,Southwest,Western
59.0,2022,,198,396,600,259,84,1109.466667,57,0.5408003844066818,17.0,,Moritz Wagner,,,21.0,Orlando Magic,Southeast,Eastern
60.0,2022,,36,76,109,15,11,167.3366667,5,0.6513814464549748,10.0,,Norman Powell,,,24.0,LA Clippers,Pacific,Western
60.0,2022,,340,710,1019,175,109,1567.135,60,0.650231154303873,10.0,,Norman Powell,,,24.0,LA Clippers,Pacific,Western
61.0,2022,,9,37,26,15,23,172.3533333,20,0.1508528991124536,15.0,,Ryan Arcidiacono,,,51.0,New York Knicks,Atlantic,Eastern
62.0,2022,,26,60,68,26,5,164.1083333,6,0.4143604327252039,26.0,,John Collins,,,20.0,Utah Jazz,Northwest,Western
62.0,2022,,359,707,931,462,85,2129.646667,71,0.4371617200291188,26.0,,John Collins,,,20.0,Utah Jazz,Northwest,Western
63.0,2022,,194,410,522,113,142,798.53,20,0.653701175910736,4.0,,Jamal Murray,,,27.0,Denver Nuggets,Northwest,Western
63.0,2022,,473,1041,1298,257,400,2133.385,65,0.6084227647611659,4.0,,Jamal Murray,,,27.0,Denver Nuggets,Northwest,Western
66.0,2022,,132,254,361,225,41,607.7083333,16,0.5940349674648767,12.0,,Anthony Davis,,,3.0,Los Angeles Lakers,Pacific,Western
66.0,2022,,542,962,1451,702,148,1904.51,56,0.7618757580690046,12.0,,Anthony Davis,,,3.0,Los Angeles Lakers,Pacific,Western
67.0,2022,,261,478,634,405,69,1505.418333,70,0.4211453960020294,16.0,,Bol Bol,,,11.0,Phoenix Suns,Pacific,Western
68.0,2022,,17,30,46,48,3,129.7933333,5,0.3544095742858928,10.0,,Ivica Zubac,,,40.0,LA Clippers,Pacific,Western
68.0,2022,,326,514,818,756,77,2169.41,76,0.3770610442470534,10.0,,Ivica Zubac,,,40.0,LA Clippers,Pacific,Western
69.0,2022,,29,48,71,102,9,298.0433333,11,0.2382203930343709,15.0,,Mitchell Robinson,,,23.0,New York Knicks,Atlantic,Eastern
69.0,2022,,188,280,435,555,53,1588.828333,59,0.2737866583601515,15.0,,Mitchell Robinson,,,23.0,New York Knicks,Atlantic,Eastern
70.0,2022,,25,72,64,31,8,183.08,7,0.3495739567402228,20.0,,Kevin Huerter,,,9.0,Sacramento Kings,Pacific,Western
70.0,2022,,420,866,1140,251,221,2202.776667,75,0.5175286342362551,20.0,,Kevin Huerter,,,9.0,Sacramento Kings,Pacific,Western
73.0,2022,,9,23,25,18,3,100.5183333,4,0.2487108488496993,13.0,,Dorian Finney-Smith,,,28.0,Brooklyn Nets,Atlantic,Eastern
73.0,2022,,196,501,551,316,100,2008.825,66,0.2742896967132527,13.0,,Dorian Finney-Smith,,,28.0,Brooklyn Nets,Atlantic,Eastern
75.0,2022,,43,122,128,96,37,517.9866667,27,0.2471106077217489,17.0,,Chuma Okeke,,,3.0,Orlando Magic,Southeast,Eastern
76.0,2022,,12,23,36,20,7,106.6733333,5,0.3374789076737325,28.0,,Luke Kennard,,,10.0,Memphis Grizzlies,Southwest,Western
