player_id,season,game_type,fgm,fga,pts,reb,ast,minutes,games_played,ppm
69.0,2022,regular,188,280,435,555,53,1588.828333,59,0.2737866583601515
70.0,2022,playoffs,25,72,64,31,8,183.08,7,0.34957395674022285
70.0,2022,regular,420,866,1140,251,221,2202.776667,75,0.5175286342362551
71.0,2022,regular,30,83,89,15,17,267.72,25,0.33243687434633196
73.0,2022,playoffs,9,23,25,18,3,100.5183333,4,0.24871084884969935
73.0,2022,regular,196,501,551,316,100,2008.825,66,0.27428969671325276
75.0,2022,regular,43,122,128,96,37,517.9866667,27,0.24711060772174892
76.0,2022,playoffs,12,23,36,20,7,106.6733333,5,0.33747890767373256
76.0,2022,regular,188,382,546,158,91,1315.085,59,0.415182288597315
77.0,2022,playoffs,71,164,212,49,31,377.415,11,0.5617158830465138
77.0,2022,regular,510,1176,1431,368,201,2475.465,73,0.5780732104877265
78.0,2022,regular,152,332,415,177,33,951.7233333,63,0.4360510932951821
79.0,2022,regular,247,515,636,210,326,1696.086667,62,0.37498083816963346
81.0,2022,regular,48,132,135,62,58,607.5916667,47,0.22218869579502742
82.0,2022,regular,65,122,174,95,67,469.495,30,0.3706109756227436
84.0,2022,playoffs,11,23,34,51,14,219.77,11,0.15470719388451562
84.0,2022,regular,175,327,406,536,102,1628.216667,82,0.2493525635922016
85.0,2022,regular,139,312,387,88,57,989.6066667,40,0.3910644633089556
86.0,2022,playoffs,60,149,175,22,61,230.075,6,0.7606215364555037
86.0,2022,regular,597,1390,1914,217,741,2540.74,73,0.7533238347882901
87.0,2022,playoffs,0,5,0,3,1,10.06333333,5,0.0
87.0,2022,regular,108,227,297,128,80,889.0233333,60,0.33407447124875145
89.0,2022,regular,0,4,0,8,2,24.36333333,4,0.0
90.0,2022,playoffs,38,93,133,38,25,205.2716667,7,0.647921859544194
90.0,2022,regular,357,796,1041,203,298,1719.235,77,0.6055018656553642
91.0,2022,regular,55,122,155,62,31,451.2616667,37,0.34348142427760087
92.0,2022,playoffs,0,0,0,0,0,0.97,1,0.0
92.0,2022,regular,56,145,172,53,53,625.2766667,50,0.2750782320212877
93.0,2022,playoffs,14,46,46,25,13,241.7733333,9,0.1902608504095104
93.0,2022,regular,282,602,799,229,150,2120.906667,71,0.3767256770097182
94.0,2022,playoffs,39,85,100,34,7,224.265,6,0.44590105455599405
94.0,2022,regular,379,822,1029,284,94,2125.63,67,0.4840917751443101
95.0,2022,regular,28,84,89,59,23,342.5483333,43,0.2598173494017698
97.0,2022,regular,77,169,220,135,52,929.7683333,37,0.2366180822906286
98.0,2022,playoffs,4,10,10,9,0,37.075,10,0.26972353337828725
98.0,2022,regular,155,260,372,286,36,1023.75,68,0.36336996336996336
100.0,2022,playoffs,19,33,53,16,11,132.9833333,5,0.3985461838321961
100.0,2022,regular,272,524,713,276,184,1872.176667,81,0.38084012719938465
101.0,2022,playoffs,30,70,77,39,7,174.745,11,0.44064207845718045
101.0,2022,regular,187,419,497,187,66,1050.508333,67,0.4731042909299797
102.0,2022,playoffs,15,25,36,38,7,131.1566667,6,0.27448090063423364
102.0,2022,regular,317,497,791,576,81,1848.555,80,0.42790179356308033
103.0,2022,playoffs,99,234,267,162,31,652.665,20,0.4090919537588196
103.0,2022,regular,398,817,1080,341,65,1797.893333,62,0.6007030451566839
105.0,2022,playoffs,109,230,306,54,62,442.8716667,11,0.6909450818565992
105.0,2022,regular,587,1195,1633,241,421,2378.671667,68,0.686517615127418
106.0,2022,regular,191,450,496,109,90,963.43,70,0.5148272318694664
107.0,2022,regular,277,610,781,288,235,1551.76,60,0.5032994793009228
108.0,2022,regular,3,9,7,3,5,19.56666667,4,0.3577512776221889
109.0,2022,playoffs,23,66,72,13,8,175.2216667,8,0.41090808777245813
109.0,2022,regular,419,936,1209,337,279,2344.105,81,0.5157618792673536
110.0,2022,regular,34,68,92,19,50,188.7666667,6,0.4873741832090104
111.0,2022,playoffs,2,4,5,2,0,12.21333333,5,0.4093886463999423
111.0,2022,regular,110,196,277,138,18,727.7983333,53,0.3805999372711122
113.0,2022,regular,719,1449,2138,569,529,2390.471667,66,0.8943841625544773
114.0,2022,regular,257,613,698,210,246,1313.215,65,0.5315199719771706
115.0,2022,regular,102,237,302,87,54,749.635,47,0.40286272652690974
116.0,2022,regular,5,7,13,6,1,30.11666667,2,0.43165467621121695
117.0,2022,playoffs,1,4,3,2,1,20.33,8,0.14756517461878998
117.0,2022,regular,77,215,222,50,72,760.2466667,64,0.29201048781132394
121.0,2022,regular,31,87,95,63,46,322.9566667,40,0.29415711083074536
123.0,2022,regular,542,1118,1485,329,283,2608.726667,80,0.5692432322577243
124.0,2022,playoffs,0,0,0,0,0,0.97,1,0.0
