player_id,team_id,league_id,full_name,position_simple,status,jersey_number
182,,,Frank Kaminsky,B,active,
183,3.0,NBA,Derrick White,G,active,9
185,0.0,NBA,Larry Nance Jr.,B,active,22
186,13.0,NBA,Royce O'Neale,W,active,0
188,8.0,NBA,Victor Oladipo,W,active,3
190,16.0,NBA,Devin Booker,W,active,1
191,3.0,NBA,Luke Kornet,B,active,40
193,0.0,NBA,Brandon Ingram,W,active,14
194,,,Juancho Hernangomez,W,active,41
195,29.0,NBA,Cody Martin,G,active,11
196,9.0,NBA,Bam Adebayo,B,active,13
197,,,Tony Bradley,B,active,5
198,11.0,NBA,Cameron Payne,G,active,15
199,10.0,NBA,Daniel Theis,B,active,10
201,22.0,NBA,Devonte' Graham,G,active,4
202,21.0,NBA,Danuel House Jr.,W,active,25
203,29.0,NBA,P.J. Washington,B,active,25
205,14.0,NBA,Troy Brown Jr.,W,active,23
206,7.0,NBA,Torrey Craig,W,active,13
207,18.0,NBA,Robert Williams III,B,active,35
208,,NBA,Shaquille Harrison,G,inactive,
210,5.0,NBA,Donovan Mitchell,G,active,45
212,9.0,NBA,Caleb Martin,W,active,16
214,13.0,NBA,Mikal Bridges,W,active,1
215,2.0,NBA,Grant Williams,B,active,3
218,16.0,NBA,Udoka Azubuike,B,active,27
219,23.0,NBA,Jalen McDaniels,W,active,2
220,9.0,NBA,Duncan Robinson,W,active,55
221,7.0,NBA,Coby White,G,active,0
222,8.0,NBA,Aaron Holiday,G,active,0
223,19.0,NBA,Aaron Nesmith,W,active,23
225,0.0,NBA,Zion Williamson,B,active,1
226,14.0,NBA,Nickeil Alexander-Walker,W,active,9
227,29.0,NBA,LaMelo Ball,G,active,1
228,12.0,NBA,Gabe Vincent,W,active,7
230,25.0,NBA,Landry Shamet,G,active,20
231,3.0,NBA,Payton Pritchard,G,active,11
232,13.0,NBA,Dennis Smith Jr.,G,active,4
233,12.0,NBA,Jaxson Hayes,B,active,11
235,29.0,NBA,Nick Richards,B,active,4
236,9.0,NBA,Haywood Highsmith,W,active,24
237,,,Javonte Green,W,active,55
238,18.0,NBA,Deandre Ayton,B,active,2
240,,,Justin Jackson,W,active,44
241,0.0,NBA,Kira Lewis Jr.,G,active,13
242,25.0,NBA,Jared Butler,G,active,4
243,,,Kai Jones,B,inactive,23
244,5.0,NBA,Max Strus,W,active,1
245,7.0,NBA,Patrick Williams,W,active,44
246,13.0,NBA,Cameron Johnson,W,active,2
249,0.0,NBA,Naji Marshall,W,active,8
250,1.0,NBA,Trent Forrest,G,active,2
251,29.0,NBA,James Bouknight,W,active,2
252,9.0,NBA,Tyler Herro,W,active,14
253,7.0,NBA,Ayo Dosunmu,G,active,12
254,18.0,NBA,Ish Wainright,B,active,23
255,0.0,NBA,Matt Ryan,W,active,37
257,0.0,NBA,Herbert Jones,W,active,5
258,,,Xavier Sneed,W,active,
259,29.0,NBA,JT Thor,B,active,21
260,26.0,NBA,Omer Yurtseven,B,active,77
261,,,Marko Simonovic,B,active,
263,3.0,NBA,Sam Hauser,W,active,30
265,0.0,NBA,Trey Murphy III,W,active,25
266,29.0,NBA,Ish Smith,G,active,14
269,,,Malcolm Hill,W,active,33
271,20.0,NBA,Harrison Barnes,W,active,40
272,,,P.J. Dozier,G,active,
273,0.0,NBA,Jose Alvarado,G,active,15
274,16.0,NBA,Bradley Beal,W,active,3
275,22.0,NBA,Doug McDermott,W,active,17
276,28.0,NBA,Steven Adams,B,active,4
278,9.0,NBA,Kevin Love,B,active,42
281,5.0,NBA,Ricky Rubio,G,active,13
283,9.0,NBA,Josh Richardson,W,active,0
284,14.0,NBA,Kyle Anderson,W,active,1
285,16.0,NBA,Kevin Durant,W,active,35
290,4.0,NBA,Kentavious Caldwell-Pope,W,active,5
291,1.0,NBA,Dejounte Murray,G,active,5
292,25.0,NBA,Tyus Jones,G,active,5
293,,,Goran Dragic,G,inactive,31
294,22.0,NBA,Cedi Osman,W,active,16
295,4.0,NBA,Justin Holiday,W,active,9
297,,,T.J. Warren,W,inactive,21
298,,,Raul Neto,G,active,
299,23.0,NBA,Jakob Poeltl,B,active,19
300,8.0,NBA,Dillon Brooks,W,active,9
301,,,Blake Griffin,B,inactive,91
302,5.0,NBA,Caris LeVert,W,active,3
303,20.0,NBA,Alex Len,B,active,25
305,19.0,NBA,T.J. McConnell,G,active,9
306,3.0,NBA,Kristaps Porzingis,B,active,8
307,22.0,NBA,Zach Collins,B,active,23
308,28.0,NBA,Jaren Jackson Jr.,B,active,13
309,,,James Johnson,B,inactive,16
310,26.0,NBA,Lauri Markkanen,B,active,23
